pieceVSA_EState3,pieceSlogP_VSA5,pieceMolLogP,pieceVSA_EState10,pieceMaxEStateIndex,pieceFpDensityMorgan1,pieceqed,pieceVSA_EState9,pieceEState_VSA5,pieceMinEStateIndex,pieceVSA_EState1,pieceHallKierAlpha,extender1_ratio,Hs_wt,polyol_ratio,extender2_ratio,mac_rate,preqed,ex1VSA_EState10,ex1EState_VSA8,lg_Eb
42.55712274,1116.346684,74.1738,0,12.62078313,0.052313883,0.005532738,8.456863232,57.39518699,-0.94585411,269.3576861,-42.96,0.333,0.157,0.5,0,500,0.013800756,3.771553918,0,2.580924976
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.584749484
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.586317193
63.56854526,2118.099466,92.2474,0,13.78535362,0.050065876,0.011635094,12.60344623,28.43919017,-1.128352541,476.3419948,-49.7,0.333,0.546,0.167,0,50,0.024950328,3.236602349,9.473725908,2.602059991
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.606101779
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.353,0.369,0.137,0,50,0.01379805,3.813117284,0,2.609594409
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.61889493
48.72656182,962.351574,57.3296,0,13.67255557,0.0925,0.011635187,5.836543858,14.21959508,-0.466491372,336.3926783,-12.74,0.264,0.612,0.22,0.011,1000,0.032795769,3.771553918,0,2.618936706
54.02100284,952.899578,83.5322,3.031895483,13.07860436,0.062256809,0.009560196,2.653685209,48.87026796,-2.706000403,435.0640553,-27.95,0.195,0.44,0.244,0.049,100,0.023635539,7.693242695,48.53093655,2.62838893
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.013,0.158,0.245,0.252,40,0.019008174,3.771553918,0,2.632740655
44.6374716,2002.420067,112.7138,0,12.65738596,0.023281596,0.012430822,2.659268364,14.21959508,-0.529621656,905.063006,-29.76,0.25,0.236,0.25,0,500,0.023550178,3.839887251,0,2.633468456
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.365,0.369,0.135,0,50,0.01379805,3.813117284,0,2.638489257
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.377,0.37,0.133,0,50,0.01379805,3.813117284,0,2.644438589
48.10103857,1219.184439,72.2382,0,13.16842876,0.052525253,0.019858198,2.747153343,14.21959508,-0.596738795,467.4823005,-14.28,0.29,0.386,0.205,0,500,0.032530195,3.75617284,0,2.645422269
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.04,0.158,0.245,0.226,40,0.019008174,3.771553918,0,2.645697301
41.66740014,1719.903916,80.6724,0,12.6511005,0.027946537,0.007283387,2.547399546,14.21959508,-1.026334435,575.0041114,-76.16,0.357,0.355,0.143,0,100,0.01379805,3.813117284,0,2.648360011
717.7076887,462.2991569,140.1451,0,13.95438905,0.023097826,0.006713662,8.364518678,57.39518699,-1.333054257,1191.6673,-145.13,0.265,0.185,0.245,0.239,40,0.019008174,3.771553918,0,2.648867205
43.39553105,1655.6957,95.2094,0,12.65382745,0.033674963,0.009560247,2.601053541,14.21959508,-0.638138802,431.2159345,-56.16,0.4,0.66,0.1,0,100,0.018111499,3.813117284,0,2.653212514
41.62081668,1123.205645,64.27276,0,12.66799718,0.055679287,0.007283451,2.477867449,50.61779749,-1.032393674,268.3921002,-38.12,0.333,0.12,0.5,0,500,0.020678335,3.839887251,0,2.655138435
49.68994258,2375.704,97.4826,0,12.79783943,0.023281596,0.019858198,2.834620979,65.58616807,-0.327383545,908.2613949,-17.28,0.25,0.243,0.25,0,500,0.032442693,3.839887251,0,2.659145761
46.24486291,1347.600871,63.369,0,13.10264042,0.065539112,0.008838531,8.577605852,57.39518699,-0.911377553,272.0861886,-30.48,0.333,0.15,0.5,0,500,0.019012428,3.771553918,0,2.664641976
44.48191915,1976.736781,112.1374,0,12.65955984,0.023385301,0.012430822,2.659195867,14.21959508,-0.582960009,904.8148233,-29.76,0.357,0.355,0.143,0,100,0.023550178,3.813117284,0,2.665580991
48.37946359,1244.867725,73.7986,0,13.1373368,0.052104208,0.019858198,2.747455566,14.21959508,-0.492712372,467.9365617,-14.28,0.33,0.453,0.17,0,500,0.032530195,3.813117284,0,2.668385917
43.54482768,1398.862835,113.8244,0,12.64242427,0.031914894,0.009560247,2.606470194,14.21959508,-0.755355489,549.474797,-57.01,0.083,0.01,0.393,0,100,0.018111507,3.813117284,0,2.670245853
46.33065702,1398.967444,63.727,0,13.11871774,0.059196617,0.011635187,2.626263564,14.21959508,-0.91121057,272.2565227,-31.88,0.333,0.133,0.5,0,500,0.019012428,3.839887251,0,2.677606953
48.17583913,1219.184439,72.2714,0,13.06903972,0.051896208,0.019858198,2.747105509,14.21959508,-0.543169324,478.7542916,-14.36,0.29,0.409,0.205,0,500,0.032530195,3.578549383,0,2.683047038
43.55328749,1013.613538,88.1204,0,12.63081355,0.041338583,0.009560247,2.607423624,14.21959508,-0.752697077,394.5873647,-46.06,0.25,0.371,0.25,0,20,0.018113796,3.813117284,0,2.68770728
51.59489412,2154.805046,120.9742,13.45868828,13.25861379,0.039663462,0.007283331,2.826621346,14.15746952,-0.948850379,479.8379703,-67.72,0.33,0.183,0.33,0,100,0.013798051,15.84936714,24.26546827,2.69019608
